LinkedIn export

Post title,Post link,Post type,Campaign name,Posted by,Created date,Campaign start date,Campaign end date,Audience,Impressions,Views,Offsite Views,Clicks,Click through rate (CTR),Likes,Comments,Reposts,Follows,Engagement rate,Content Type
"If you don't find a random pink handprint on your car after Holi, did you even celebrate? 🫠 ",https://www.linkedin.com/feed/update/urn:li:activity:7435210042829737984,Organic,,Sakshi Agarwal ,03/05/2026,,,All followers,11994,,,94,0.007837251760065556,27,7,1,,0.010755377821624279,
The promise is bigger than the billboard.,https://www.linkedin.com/feed/update/urn:li:activity:7433043132172234752,Organic,,Sakshi Agarwal ,02/27/2026,,,All followers,11118,,,1415,0.12727108597755432,249,22,14,,0.1529051959514618,
"We gathered to celebrate the launch of our new brand films, but the real stars were the teams. From sharing insights during our AMAs to celebrating our recent wins, it was a session filled with laughter and reminders of why we do, what we do. 💙 

Vikram Himanshu Gajendra Ruchit Shivanshu Prachi Vipul",https://www.linkedin.com/feed/update/urn:li:activity:7431958906928713728,Organic,,Sakshi Agarwal ,02/24/2026,,,All followers,44507,,,45443,1.0210304260253906,627,23,3,,1.0357022285461426,
Best Value for your car. Sister Promise 🥰 ,https://www.linkedin.com/feed/update/urn:li:activity:7430499702317592576,Organic,,Sakshi Agarwal ,02/20/2026,,,All followers,30292,4501.0,,568,0.01875082589685917,160,65,12,,0.026574673131108284,Video
30-Day Return on all cars. Mother-in-Law Promise 😉,https://www.linkedin.com/feed/update/urn:li:activity:7430136559514923008,Organic,,Sakshi Agarwal ,02/19/2026,,,All followers,11029,3333.0,,371,0.03363858908414841,154,31,12,,0.0515005886554718,Video
"Lifetime Warranty on all cars. Mother Promise 😇
",https://www.linkedin.com/feed/update/urn:li:activity:7429773809060216832,Organic,,Sakshi Agarwal ,02/18/2026,,,All followers,23143,8403.0,,1323,0.057166315615177155,500,109,41,,0.0852525606751442,Video
Feeling motivated today. Still stuck in traffic 🫠 ,https://www.linkedin.com/feed/update/urn:li:activity:7429418303627935744,Organic,,Sakshi Agarwal ,02/17/2026,,,All followers,5386,,,69,0.012810991145670414,63,17,2,,0.02803564816713333,
"Socho mat, gaadi kharidlo �� ",https://www.linkedin.com/feed/update/urn:li:activity:7427614948387905536,Organic,,Sakshi Agarwal ,02/12/2026,,,All followers,9583,,,214,0.02233121171593666,123,47,1,,0.040175311267375946,
"Our recent Tech and Product offsite was a chance to slow down, reflect, and realign as one team. Two days of R&R and AMA, filled with honest conversations and great energy.

Aniruddh Jain Jayesh Gupta Himanshu Ratnoo Shivanshu Makkar Vikram Chopra Gajendra Jangid",https://www.linkedin.com/feed/update/urn:li:activity:7424361163133566977,Organic,,Sakshi Agarwal ,02/03/2026,,,All followers,50393,,,30727,0.6097474098205566,581,23,2,,0.6217728853225708,
some monday motivation for you all 😇 ,https://www.linkedin.com/feed/update/urn:li:activity:7418901431534956544,Organic,,Sakshi Agarwal ,01/19/2026,,,All followers,13104,,,156,0.011904762126505375,63,14,0,,0.017780831083655357,
"feeling ""Saturday Saturday"" already (iykyk) 😏 ",https://www.linkedin.com/feed/update/urn:li:activity:7417844236580093953,Organic,,Aarohi Gupta,01/16/2026,,,All followers,32774,,,601,0.018337706103920937,121,10,2,,0.022395800799131393,
,https://www.linkedin.com/feed/update/urn:li:activity:7417090026397806592,Organic,,Sakshi Agarwal ,01/14/2026,,,All followers,7812,,,127,0.016257040202617645,89,13,1,,0.02944188378751278,
Happy Lohri to all those celebrating from office today 🥰 ,https://www.linkedin.com/feed/update/urn:li:activity:7416717954639241217,Organic,,Aarohi Gupta,01/13/2026,,,All followers,12780,,,182,0.014241001568734646,87,4,0,,0.02136150188744068,
happy friday 🥰 ,https://www.linkedin.com/feed/update/urn:li:activity:7415277618989543425,Organic,,Aarohi Gupta,01/09/2026,,,All followers,8118,,,125,0.015397881157696247,90,12,2,,0.028208918869495392,
starting 2026 right ❤️ ,https://www.linkedin.com/feed/update/urn:li:activity:7413844664518258688,Organic,,Aarohi Gupta,01/05/2026,,,All followers,9735,,,223,0.022907037287950516,111,17,3,,0.036363635212183,
"Celebrating Christmas with children from our extended community and our support teams made the joy feel deeper, warmer, and truly meaningful. Moments like these remind us of what really matters. Merry Christmas from ours to yours🎅❤️ ",https://www.linkedin.com/feed/update/urn:li:activity:7409855055538868224,Organic,,Aarohi Gupta,12/25/2025,,,All followers,25090,,,9392,0.37433239817619324,353,30,5,,0.38979673385620117,
"Congratulations to Divanshu Saxena on being elevated to CBO, CFSPL at CARS24 India. We promise to stay almost within budget 🥹",https://www.linkedin.com/feed/update/urn:li:activity:7409131757268299776,Organic,,Aarohi Gupta,12/23/2025,,,All followers,11975,,,444,0.037077244371175766,189,12,0,,0.05386221408843994,
this one mattered 🫶🏻,https://www.linkedin.com/feed/update/urn:li:activity:7408754518324350976,Organic,,Aggra Pratap Singh,12/22/2025,,,All followers,10685,,,2466,0.23079082369804382,89,13,3,,0.24061769247055054,
"999 likes on this, and we will prove to our boss that brain rot works on LinkedIn too🤭 ",https://www.linkedin.com/feed/update/urn:li:activity:7407651923052433408,Organic,,Aarohi Gupta,12/19/2025,,,All followers,24850,,,468,0.018832998350262642,267,22,2,,0.030543260276317596,
,https://www.linkedin.com/feed/update/urn:li:activity:7407362722570563585,Organic,,Prachi Sharma,12/18/2025,,,All followers,5954,11624.0,,62,0.010413167998194695,36,9,1,,0.01813906617462635,Article
her smile said it all ❤️ ,https://www.linkedin.com/feed/update/urn:li:activity:7407303097871585280,Organic,,Aarohi Gupta,12/18/2025,,,All followers,7684,2032.0,,164,0.0213430505245924,69,9,2,,0.03175429627299309,Video
Women are in the driver's seat at CARS24 ❤️,https://www.linkedin.com/feed/update/urn:li:activity:7406226279303221248,Organic,,Aarohi Gupta,12/15/2025,,,All followers,53713,,,26054,0.4850594699382782,718,13,10,,0.49885502457618713,
"Dilliwaalon, aap convince hogye ya main aur bolu? 🥲",https://www.linkedin.com/feed/update/urn:li:activity:7405114873828872192,Organic,,Aggra Pratap Singh,12/12/2025,,,All followers,16694,,,4303,0.2577572762966156,120,6,0,,0.26530489325523376,
"Papa kehte hain bada naam karega, beta hamara aisa kaam karega 🫶🏻",https://www.linkedin.com/feed/update/urn:li:activity:7404407343775408128,Organic,,Aarohi Gupta,12/10/2025,,,All followers,6466,1688.0,,111,0.01716671884059906,29,18,0,,0.024435508996248245,Video
still rerouting 😭 ,https://www.linkedin.com/feed/update/urn:li:activity:7403686562217320448,Organic,,Aarohi Gupta,12/08/2025,,,All followers,14191,,,174,0.012261291965842247,77,48,1,,0.02114016003906727,
