LinkedIn export

Date,Overview page views (desktop),Overview page views (mobile),Overview page views (total),Overview unique visitors (desktop),Overview unique visitors (mobile),Overview unique visitors (total),Life page views (desktop),Life page views (mobile),Life page views (total),Life unique visitors (desktop),Life unique visitors (mobile),Life unique visitors (total),Jobs page views (desktop),Jobs page views (mobile),Jobs page views (total),Jobs unique visitors (desktop),Jobs unique visitors (mobile),Jobs unique visitors (total),Total page views (desktop),Total page views (mobile),Total page views (total),Total unique visitors (desktop),Total unique visitors (mobile),Total unique visitors (total)
10/27/2025,277,484,761,199,345,542,0,0,0,0,0,0,93,375,468,71,261,331,585,1166,1751,209,472,677
10/28/2025,328,609,937,262,455,714,0,0,0,0,0,0,107,568,675,89,361,447,672,1515,2187,276,626,897
10/29/2025,290,462,752,207,353,557,0,0,0,0,0,0,101,431,532,81,282,361,643,1157,1800,220,502,717
10/30/2025,293,452,745,221,340,558,0,0,0,0,0,0,120,589,709,103,343,444,612,1436,2048,239,550,781
10/31/2025,326,404,730,206,311,515,0,0,0,0,0,0,101,507,608,84,283,364,679,1242,1921,219,460,673
11/01/2025,157,341,498,107,261,366,0,0,0,0,0,0,47,290,337,40,182,220,280,845,1125,116,354,466
11/02/2025,100,267,367,72,227,295,0,0,0,0,0,0,36,285,321,32,180,210,187,791,978,79,307,382
11/03/2025,253,341,594,187,276,460,0,0,0,0,0,0,71,364,435,57,228,284,587,938,1525,204,383,583
11/04/2025,268,369,637,186,273,456,0,0,0,0,0,0,73,352,425,62,248,309,650,956,1606,198,384,579
11/05/2025,227,343,570,163,273,433,0,0,0,0,0,0,64,383,447,51,232,283,438,961,1399,180,387,563
11/06/2025,297,455,752,195,340,529,0,0,0,0,0,0,74,547,621,61,305,366,594,1334,1928,209,503,705
11/07/2025,190,340,530,149,270,418,0,0,0,0,0,0,54,443,497,50,248,297,430,1066,1496,162,419,579
11/08/2025,84,248,332,68,194,261,0,0,0,0,0,0,48,308,356,40,172,212,179,724,903,72,292,363
11/09/2025,86,220,306,69,172,241,0,0,0,0,0,0,36,279,315,33,176,209,169,689,858,77,282,359
11/10/2025,206,388,594,165,270,433,0,0,0,0,0,0,81,417,498,65,243,305,519,1087,1606,182,412,589
11/11/2025,291,377,668,213,309,521,0,0,0,0,0,0,96,495,591,75,271,345,668,1132,1800,231,451,678
