month,label,views,watch_time_hours,avg_view_duration,subscribers_gained,subscribers_lost,net_subs,likes,comments,shares,impressions,ctr,videos_published,videos_published_shorts,videos_published_long,data_source,total_subscribers,total_views,total_videos,avg_view_percent
2025-06,Jun'25,273613,1250.6,16.0,25,4,21,358,3,25,0,0,10,8,2,analytics,960,806357,271,86.0
2025-07,Jul'25,324481,1390.8,15.0,16,3,13,336,9,8,0,0,6,6,0,analytics,960,806357,271,82.45
2025-08,Aug'25,97042,495.7,20.0,31,7,24,232,12,22,0,0,6,4,2,analytics,960,806357,271,65.1
2025-09,Sep'25,61381,370.6,23.0,22,5,17,186,6,31,0,0,1,0,1,analytics,960,806357,271,61.54
2025-10,Oct'25,286247,1045.8,25.0,26,7,19,162,7,25,0,0,3,3,0,analytics,960,806357,271,72.0
2025-11,Nov'25,824875,3359.0,33.0,19,4,15,198,5,30,0,0,3,3,0,analytics,960,806357,271,88.77
2025-12,Dec'25,807926,1604.2,17.0,28,6,22,139,4,24,0,0,0,0,0,analytics,960,806357,271,76.44
2026-01,Jan'26,261809,728.9,22.0,36,9,27,246,18,40,0,0,19,18,1,analytics,960,806357,271,56.45
2026-02,Feb'26,41506,281.7,41.0,27,8,19,279,14,47,0,0,30,26,4,analytics,960,806357,271,41.24
2026-03,Mar'26,94538,384.4,31.0,37,6,31,463,11,48,0,0,37,34,3,analytics,960,806357,271,47.52
2026-04,Apr'26,77143,634.8,57.0,84,17,67,515,10,88,0,0,38,32,6,analytics,960,806357,271,44.74
2026-05,May'26,65162,509.4,49.0,64,14,50,406,12,49,0,0,30,13,17,analytics,960,806357,271,44.97
2026-06,Jun'26,126577,704.4,36.0,67,10,57,355,16,57,0,0,17,6,11,analytics,960,806357,271,55.33
2026-07,Jul'26,101515,424.3,41.0,26,5,21,219,7,20,0,0,8,0,8,analytics,960,806357,271,55.79
