cluster,date,Cardekho,Cars24,CarWale,MFC,MTV,OLX,Spinny
P0,2025-09-04,26.2,16.4,37.2,0.2,0.7,0.9,18.42
P0,2025-09-05,25.4,18.5,34.4,0.2,0.7,1.0,19.86
P0,2025-09-06,25.66,17.33,34.93,0.19,0.79,1.01,20.09
P0,2025-09-07,25.63,17.81,34.24,0.22,0.87,0.94,20.29
P0,2025-09-08,25.42,18.74,33.88,0.19,0.77,0.94,20.05
P0,2025-09-09,25.29,19.84,32.68,0.21,0.77,0.91,20.28
P0,2025-09-10,23.95,20.39,32.92,0.23,0.67,1.02,20.82
P0,2025-09-11,24.03,20.97,31.67,0.23,0.78,1.0,21.32
P0,2025-09-12,23.26,21.42,31.25,0.25,0.79,0.93,22.09
P0,2025-09-13,23.7,19.86,31.96,0.22,0.97,1.03,22.26
P0,2025-09-14,23.13,18.73,30.48,0.26,0.83,0.95,25.61
P0,2025-09-15,23.64,19.55,33.2,0.3,0.78,0.95,21.57
P0,2025-09-16,24.0,19.94,32.65,0.25,0.88,1.05,21.25
P0,2025-09-17,23.9,20.17,32.12,0.22,0.85,1.02,21.71
P0,2025-09-18,23.74,19.95,32.45,0.26,0.81,0.92,21.86
P0,2025-09-19,23.1,19.84,31.74,0.28,0.81,0.94,23.29
P0,2025-09-20,24.04,19.63,31.7,0.22,0.9,0.97,22.53
P0,2025-09-21,24.75,15.81,35.26,0.2,0.8,0.75,22.42
P0,2025-09-22,27.21,16.69,36.03,0.2,0.77,0.7,18.4
P0,2025-09-23,26.67,17.54,34.65,0.2,0.92,0.81,19.21
P0,2025-09-24,25.86,18.37,33.49,0.24,0.88,0.83,20.32
P0,2025-09-25,25.73,19.36,32.18,0.23,0.98,0.99,20.53
P0,2025-09-26,25.13,19.37,31.87,0.28,1.07,0.92,21.37
P0,2025-09-27,25.01,19.61,32.04,0.26,1.04,0.9,21.13
P0,2025-09-28,23.67,17.71,30.53,0.24,1.01,0.81,26.04
P0,2025-09-29,24.19,19.45,32.0,0.22,1.1,0.96,22.09
P0,2025-09-30,24.24,19.44,32.08,0.29,1.02,1.02,21.91
P0,2025-10-01,24.98,19.43,32.26,0.22,0.98,0.97,21.16
P0,2025-10-02,25.39,18.31,32.97,0.21,0.86,0.96,21.3
P0,2025-10-03,24.69,19.39,33.43,0.23,0.87,0.87,20.53
P0,2025-10-04,24.02,19.64,32.42,0.29,1.17,0.9,21.56
P0,2025-10-05,24.11,19.7,32.5,0.25,1.0,0.97,21.47
P0,2025-10-06,24.47,19.33,33.34,0.25,1.0,0.95,20.66
P0,2025-10-07,24.43,19.58,32.96,0.28,0.83,0.91,21.01
P0,2025-10-08,23.77,20.71,32.25,0.24,0.93,0.88,21.21
P0,2025-10-09,24.06,20.64,32.25,0.31,0.89,0.98,20.87
P0,2025-10-10,23.3,20.18,32.55,0.3,0.91,0.95,21.81
P0,2025-10-11,23.89,19.98,32.03,0.3,0.93,0.9,21.96
P0,2025-10-12,23.56,19.99,32.03,0.28,1.02,0.98,22.14
P0,2025-10-13,22.83,20.76,32.13,0.29,0.92,0.92,22.14
P0,2025-10-14,23.4,20.92,31.76,0.3,1.02,0.97,21.63
P0,2025-10-15,22.47,21.7,31.96,0.26,0.97,1.06,21.59
P0,2025-10-16,22.88,21.39,31.72,0.27,0.97,0.91,21.86
P0,2025-10-17,22.99,20.99,31.66,0.24,0.93,0.96,22.23
P0,2025-10-18,23.45,19.69,32.9,0.31,0.85,0.94,21.85
P0,2025-10-19,23.71,18.42,33.81,0.25,0.91,1.09,21.81
P0,2025-10-20,23.01,18.81,34.48,0.26,0.9,1.12,21.42
P0,2025-10-21,23.81,20.19,31.82,0.27,0.99,0.99,21.92
P0,2025-10-22,23.75,20.22,32.22,0.34,0.96,1.03,21.47
P0,2025-10-23,23.68,20.71,31.64,0.3,0.98,0.91,21.78
P0,2025-10-24,24.01,20.46,31.69,0.32,0.98,0.89,21.65
P0,2025-10-25,23.9,20.6,31.32,0.31,0.98,0.99,21.89
P0,2025-10-26,23.91,20.45,31.08,0.28,1.06,0.95,22.27
P0,2025-10-27,23.59,20.9,30.85,0.23,0.9,0.98,22.54
P0,2025-10-28,22.97,22.22,30.25,0.26,0.96,0.94,22.41
P0,2025-10-29,22.81,21.86,30.84,0.3,1.04,1.02,22.13
P0,2025-10-30,22.57,22.53,30.86,0.26,0.79,0.98,22.01
P0,2025-10-31,22.44,21.92,31.07,0.26,0.9,0.99,22.42
P0,2025-11-01,22.63,21.32,31.02,0.29,1.1,1.0,22.65
P0,2025-11-02,22.9,21.37,31.21,0.23,0.98,0.94,22.37
P0,2025-11-03,23.05,21.0,32.23,0.25,0.94,1.05,21.48
P0,2025-11-04,26.27,17.8,36.35,0.23,0.8,0.79,17.76
P0,2025-11-05,25.62,19.33,34.3,0.2,0.79,0.95,18.82
P0,2025-11-06,24.65,20.44,32.87,0.26,0.87,0.89,20.02
P0,2025-11-07,23.75,21.0,32.25,0.24,1.07,1.0,20.7
P0,2025-11-08,23.58,20.75,31.91,0.29,0.92,1.01,21.54
P0,2025-11-09,23.91,20.34,32.52,0.29,0.95,0.97,21.02
P0,2025-11-10,23.62,23.49,30.09,0.29,0.85,0.81,20.84
P0,2025-11-11,23.61,21.7,31.94,0.28,0.82,0.88,20.75
P0,2025-11-12,23.54,21.82,31.36,0.27,0.93,1.03,21.05
P0,2025-11-13,22.83,21.69,31.95,0.32,0.84,1.08,21.29
P0,2025-11-14,22.99,22.17,30.99,0.29,0.97,1.02,21.57
P0,2025-11-15,23.83,20.56,33.18,0.25,0.92,0.94,20.32
P0,2025-11-16,23.84,20.63,32.91,0.26,0.93,1.06,20.38
P0,2025-11-17,22.41,22.81,30.8,0.25,1.01,1.04,21.68
P0,2025-11-18,22.2,23.62,29.87,0.29,0.83,0.93,22.27
P0,2025-11-19,22.65,23.01,30.1,0.28,1.0,0.96,22.0
P0,2025-11-20,22.74,23.47,30.02,0.26,0.99,0.96,21.56
P0,2025-11-21,22.48,23.05,30.26,0.31,0.93,0.93,22.04
P0,2025-11-22,22.98,22.07,30.59,0.26,1.13,1.02,21.94
P0,2025-11-23,22.71,22.45,30.56,0.31,1.03,0.92,22.01
P0,2025-11-24,22.51,23.05,30.85,0.26,0.89,1.0,21.43
P0,2025-11-25,29.04,14.37,42.1,0.15,0.55,0.6,13.2
P0,2025-11-26,26.51,18.08,36.58,0.21,0.73,0.83,17.06
P0,2025-11-27,24.87,19.8,34.99,0.25,0.82,0.79,18.48
P0,2025-11-28,23.56,21.59,32.89,0.28,0.93,0.88,19.87
P0,2025-11-29,23.19,21.2,32.33,0.27,0.91,0.86,21.24
P0,2025-11-30,23.76,21.55,31.82,0.23,0.88,0.79,20.97
P0,2025-12-01,22.93,22.51,30.94,0.28,0.87,0.91,21.55
P0,2025-12-02,23.45,22.95,30.99,0.24,0.97,0.98,20.42
P0,2025-12-03,23.07,22.75,31.93,0.24,0.82,0.92,20.27
P0,2025-12-04,23.64,22.3,31.74,0.23,0.81,0.81,20.47
P0,2025-12-05,22.95,22.86,30.87,0.21,1.01,0.91,21.18
P0,2025-12-06,24.03,20.56,32.72,0.18,0.97,0.81,20.73
P0,2025-12-07,23.82,21.13,31.85,0.21,1.04,0.84,21.11
P0,2025-12-08,23.5,22.05,30.95,0.28,1.04,0.84,21.34
P0,2025-12-09,22.95,22.61,30.76,0.3,0.94,0.9,21.55
P0,2025-12-10,23.64,21.32,32.26,0.23,0.86,0.85,20.83
P0,2025-12-11,23.1,22.4,31.36,0.26,0.86,0.93,21.09
P0,2025-12-12,23.91,22.25,29.75,0.24,0.88,0.88,22.09
P0,2025-12-13,22.85,21.96,29.94,0.28,1.03,0.98,22.97
P0,2025-12-14,23.74,21.45,30.91,0.27,1.0,0.96,21.67
P0,2025-12-15,23.3,21.03,33.07,0.24,0.89,0.87,20.61
P0,2025-12-16,23.54,22.33,30.28,0.26,0.9,0.95,21.74
P0,2025-12-17,23.87,22.56,30.11,0.31,0.87,0.94,21.34
P0,2025-12-18,23.23,22.5,30.21,0.22,0.9,0.96,21.98
P0,2025-12-19,23.48,22.86,30.13,0.24,0.9,1.03,21.36
P0,2025-12-20,23.16,22.48,29.69,0.27,1.0,0.97,22.42
P0,2025-12-21,23.11,21.94,30.03,0.27,1.05,1.0,22.58
P0,2025-12-22,23.38,22.37,30.21,0.26,0.99,0.94,21.85
P0,2025-12-23,22.86,23.01,29.98,0.29,0.92,1.06,21.88
P0,2025-12-24,22.71,23.17,29.32,0.32,1.04,0.9,22.54
P0,2025-12-25,23.13,23.14,29.01,0.25,1.02,1.02,22.43
P0,2025-12-26,22.84,24.05,28.74,0.24,0.97,0.95,22.2
P0,2025-12-27,23.52,22.64,28.67,0.27,1.08,1.01,22.81
P0,2025-12-28,23.79,22.44,28.88,0.25,0.98,0.99,22.67
P0,2025-12-29,23.31,23.36,27.94,0.33,0.95,1.13,22.98
P0,2025-12-30,22.67,23.58,27.85,0.26,0.93,1.0,23.72
P0,2025-12-31,22.5,22.74,28.81,0.28,0.94,1.1,23.62
P0,2026-01-01,23.19,21.96,30.11,0.25,0.93,1.07,22.49
P0,2026-01-02,22.87,22.22,30.63,0.33,0.86,1.09,21.99
P0,2026-01-03,23.09,23.15,29.28,0.23,1.05,0.99,22.2
P0,2026-01-04,23.19,22.05,30.75,0.26,0.89,1.03,21.83
P0,2026-01-05,23.87,22.15,32.91,0.26,0.72,0.93,19.16
P0,2026-01-06,23.17,22.67,32.78,0.22,0.8,0.87,19.49
P0,2026-01-07,23.91,21.78,31.89,0.22,0.78,0.98,20.44
P0,2026-01-08,23.91,22.36,30.69,0.24,0.74,1.13,20.92
P0,2026-01-09,23.66,22.5,29.87,0.23,0.89,1.1,21.75
P0,2026-01-10,23.56,22.28,29.9,0.31,1.03,0.99,21.91
P0,2026-01-11,23.4,22.75,30.09,0.26,0.94,0.95,21.61
P0,2026-01-12,23.91,22.01,30.49,0.3,0.83,0.99,21.47
P0,2026-01-13,27.19,17.98,35.09,0.19,0.77,0.79,17.99
P0,2026-01-14,26.31,20.06,32.52,0.25,0.72,0.88,19.26
P0,2026-01-15,24.73,21.71,31.06,0.23,0.78,0.97,20.52
P0,2026-01-16,23.9,22.09,31.11,0.24,0.89,0.97,20.8
P0,2026-01-17,24.19,21.28,30.29,0.29,0.89,1.05,22.02
P0,2026-01-18,24.22,20.55,31.02,0.26,0.93,1.06,21.96
P0,2026-01-19,23.61,21.62,31.01,0.25,0.82,1.05,21.63
P0,2026-01-20,24.26,20.45,33.43,0.31,0.86,0.96,19.74
P0,2026-01-21,23.61,21.65,31.1,0.27,0.95,0.94,21.49
P0,2026-01-22,23.32,21.74,30.85,0.25,0.98,1.08,21.77
P0,2026-01-23,23.3,21.84,31.17,0.2,1.01,1.07,21.41
P0,2026-01-24,22.99,21.42,30.6,0.21,1.21,1.06,22.5
P0,2026-01-25,23.05,20.64,32.36,0.26,1.03,0.95,21.7
P0,2026-01-26,24.92,18.85,34.77,0.21,0.9,0.91,19.44
P0,2026-01-27,24.77,20.18,33.34,0.26,0.81,1.0,19.64
P0,2026-01-28,23.74,21.79,31.24,0.28,0.85,0.94,21.16
P0,2026-01-29,23.1,22.48,30.94,0.23,0.93,1.15,21.17
P0,2026-01-30,23.18,22.62,30.02,0.26,0.89,1.06,21.98
