date,AlbaCars,Automall,Cars24,Dubizzle,Kavak,RMAMotors
2026-04-30,1.8,4.2,6.3,82.7,4.6,0.4
2026-05-01,1.7,4.5,6.2,82.3,4.9,0.3
2026-05-02,1.9,5.0,6.6,80.9,5.2,0.3
2026-05-03,1.8,4.6,6.4,82.0,4.9,0.3
2026-05-04,1.6,3.8,5.5,84.1,4.6,0.3
2026-05-05,1.7,3.9,5.6,84.1,4.3,0.4
2026-05-06,1.7,4.2,6.1,83.1,4.5,0.5
2026-05-07,1.6,4.4,6.0,83.0,4.6,0.4
2026-05-08,1.7,5.1,6.2,81.4,5.3,0.3
2026-05-09,1.7,5.5,6.6,80.5,5.4,0.4
2026-05-10,1.6,4.7,6.1,82.4,4.9,0.3
2026-05-11,1.6,4.4,6.3,82.7,4.7,0.3
2026-05-12,1.7,4.2,5.8,83.3,4.6,0.4
2026-05-13,1.7,4.2,6.1,83.0,4.7,0.4
2026-05-14,1.6,4.7,6.3,82.2,4.8,0.4
2026-05-15,1.7,4.9,6.5,81.4,5.2,0.4
2026-05-16,1.9,5.3,6.6,80.5,5.5,0.3
2026-05-17,1.8,4.6,6.1,82.3,4.9,0.3
2026-05-18,1.4,3.9,6.1,83.9,4.3,0.4
2026-05-19,1.3,4.1,6.4,83.3,4.6,0.3
2026-05-20,1.6,3.9,6.6,82.8,4.7,0.4
2026-05-21,1.6,4.0,6.2,83.5,4.5,0.3
2026-05-22,1.7,4.4,6.6,82.1,5.0,0.3
2026-05-23,1.8,4.9,6.7,81.0,5.4,0.3
2026-05-24,1.7,4.9,7.1,81.1,5.0,0.4
2026-05-25,1.7,4.6,6.6,81.9,5.0,0.3
2026-05-26,1.9,4.6,6.7,80.8,5.5,0.5
2026-05-27,2.1,4.6,7.0,81.3,4.7,0.4
2026-05-28,1.9,4.4,6.8,81.4,5.2,0.4
2026-05-29,1.9,4.8,7.0,80.9,4.9,0.4
2026-05-30,1.8,4.8,6.7,81.7,4.7,0.3
2026-05-31,1.5,4.5,6.7,82.1,4.9,0.3
